N,Graph_ID,Delta_min,s_at_min,Max_degeneracy,Max_cut_value,Edges
12,5,1.611774,0.631578947368421,34,14,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 5), (4, 6), (5, 7), (6, 7), (6, 8), (7, 9), (8, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,7,1.5097822741973115,0.631578947368421,28,14,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 5), (4, 6), (5, 7), (6, 8), (6, 9), (7, 10), (7, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,15,1.3488259469490673,0.5789473684210527,18,14,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 7), (6, 10), (7, 10), (8, 9), (8, 11), (9, 11), (10, 11)]"
12,20,1.4388201528095905,0.5789473684210527,10,14,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 9), (7, 11), (8, 10), (9, 11), (10, 11)]"
12,26,1.5207497157665202,0.5789473684210527,26,14,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 6), (5, 7), (5, 8), (6, 9), (7, 8), (7, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,44,1.6404277649074324,0.6842105263157894,36,14,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 7), (5, 8), (6, 9), (7, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,59,1.4899100336343487,0.5263157894736842,24,14,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 8), (4, 9), (5, 10), (5, 11), (6, 7), (6, 8), (7, 10), (8, 9), (9, 11), (10, 11)]"
12,72,1.505438431615552,0.47368421052631576,12,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 5), (3, 7), (4, 8), (5, 9), (6, 8), (6, 10), (7, 9), (7, 11), (8, 11), (9, 10), (10, 11)]"
12,18,0.3626392243729324,0.5263157894736842,2,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 9), (7, 10), (7, 11), (8, 10), (9, 11), (10, 11)]"
12,6,0.3847549489337361,0.5263157894736842,2,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 5), (4, 6), (5, 7), (6, 8), (6, 9), (7, 8), (7, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,45,0.4414443375224568,0.47368421052631576,2,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 7), (5, 9), (6, 9), (7, 10), (8, 10), (8, 11), (9, 11), (10, 11)]"
12,14,0.4447339650373987,0.47368421052631576,2,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 7), (6, 8), (7, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,21,0.4668603134119591,0.5263157894736842,4,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 9), (7, 11), (8, 11), (9, 10), (10, 11)]"
12,10,0.46711875713624273,0.47368421052631576,2,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 6), (5, 8), (6, 7), (7, 9), (8, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,39,0.4824401595445327,0.47368421052631576,2,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 10), (7, 11), (8, 9), (9, 11), (10, 11)]"
12,80,0.48936801611563574,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 7), (3, 8), (4, 9), (5, 7), (5, 10), (6, 7), (6, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,52,0.4971874368229603,0.47368421052631576,2,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 9), (7, 8), (7, 11), (8, 11), (9, 10), (10, 11)]"
12,1,0.5029913366131069,0.47368421052631576,2,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 4), (4, 5), (5, 6), (5, 7), (6, 7), (6, 8), (7, 9), (8, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,13,0.5257578517658885,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,57,0.5291127445298613,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 11), (7, 9), (7, 10), (8, 9), (8, 11), (10, 11)]"
12,24,0.5401767684096717,0.47368421052631576,4,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 5), (4, 6), (5, 7), (6, 8), (6, 9), (7, 10), (7, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,30,0.5590706494121385,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 10), (7, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,48,0.5628004884139575,0.47368421052631576,4,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 7), (5, 9), (6, 10), (7, 11), (8, 9), (8, 11), (9, 10), (10, 11)]"
12,40,0.565405195425078,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 10), (7, 11), (8, 11), (9, 10), (9, 11)]"
12,2,0.56934317212251,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 4), (4, 5), (5, 6), (5, 7), (6, 8), (6, 9), (7, 8), (7, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,41,0.6033585780618926,0.5263157894736842,4,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 10), (6, 11), (7, 10), (7, 11), (8, 9), (8, 10), (9, 11)]"
12,35,0.6266039834516297,0.5263157894736842,4,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 8), (7, 11), (9, 10), (9, 11), (10, 11)]"
12,56,0.642793683624066,0.47368421052631576,4,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 11), (7, 8), (7, 9), (8, 11), (9, 10), (10, 11)]"
12,22,0.6444534688419141,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 10), (7, 11), (8, 11), (9, 10), (9, 11)]"
12,46,0.6546289003738872,0.5263157894736842,4,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 7), (5, 9), (6, 10), (7, 10), (8, 9), (8, 11), (9, 11), (10, 11)]"
12,63,0.6573347515808052,0.5263157894736842,6,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 8), (4, 9), (5, 10), (5, 11), (6, 8), (6, 10), (7, 9), (7, 11), (8, 11), (9, 10)]"
12,64,0.6816610924193824,0.3157894736842105,2,18,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 5), (3, 4), (3, 6), (5, 7), (6, 8), (6, 9), (7, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,11,0.6858811184532438,0.5263157894736842,4,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (7, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,85,0.6903807776669613,0.47368421052631576,6,15,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 8), (3, 9), (4, 6), (4, 8), (5, 7), (5, 10), (6, 11), (7, 9), (8, 10), (9, 11), (10, 11)]"
12,54,0.6930799730983948,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 9), (7, 10), (7, 11), (8, 10), (8, 11), (9, 11)]"
12,34,0.7120303881340551,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 9), (7, 10), (7, 11), (8, 10), (9, 11), (10, 11)]"
12,37,0.7121235752156778,0.47368421052631576,4,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 9), (7, 11), (8, 10), (9, 11), (10, 11)]"
12,76,0.7205943201031282,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 7), (3, 8), (4, 7), (5, 6), (5, 9), (6, 10), (7, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,23,0.736717787013129,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 5), (4, 6), (5, 7), (6, 8), (6, 9), (7, 8), (7, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,84,0.7415990261535121,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 6), (2, 7), (3, 8), (3, 9), (4, 6), (4, 8), (5, 7), (5, 9), (6, 10), (7, 11), (8, 11), (9, 10), (10, 11)]"
12,58,0.743857044803188,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 11), (7, 9), (7, 11), (8, 10), (8, 11), (9, 10)]"
12,70,0.7462497637976888,0.47368421052631576,4,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 5), (3, 7), (4, 8), (5, 9), (6, 7), (6, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,28,0.7487164853271606,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 8), (7, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,12,0.7576124211266979,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 9), (7, 10), (8, 10), (8, 11), (9, 11), (10, 11)]"
12,53,0.7676672481322191,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 9), (7, 9), (7, 11), (8, 10), (8, 11), (10, 11)]"
12,17,0.7796031200898046,0.42105263157894735,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 7), (6, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,79,0.7802023604217441,0.47368421052631576,4,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 7), (3, 8), (4, 9), (5, 7), (5, 10), (6, 7), (6, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,3,0.7828147490342277,0.47368421052631576,4,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 4), (4, 5), (5, 6), (5, 7), (6, 8), (6, 9), (7, 10), (7, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,31,0.7831221074740702,0.47368421052631576,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,61,0.7837322826259703,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 8), (4, 9), (5, 10), (5, 11), (6, 8), (6, 9), (7, 10), (7, 11), (8, 10), (9, 11)]"
12,55,0.8107066513272008,0.5789473684210527,6,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 11), (7, 8), (7, 9), (8, 10), (9, 11), (10, 11)]"
12,68,0.8166257820542162,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 5), (3, 7), (4, 8), (5, 9), (6, 7), (6, 10), (7, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,29,0.8229240919029932,0.5263157894736842,6,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 6), (5, 8), (6, 9), (7, 9), (7, 10), (8, 10), (8, 11), (9, 11), (10, 11)]"
12,77,0.8382961374337947,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 7), (3, 8), (4, 7), (5, 8), (5, 9), (6, 9), (6, 10), (7, 11), (8, 10), (9, 11), (10, 11)]"
12,16,0.8451518208666569,0.47368421052631576,4,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 7), (6, 10), (7, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,32,0.8504703485112701,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 7), (6, 10), (7, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,47,0.8530151563567347,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 7), (5, 9), (6, 10), (7, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,38,0.8570815338902653,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 9), (7, 11), (8, 11), (9, 10), (10, 11)]"
12,66,0.8638330031100754,0.3157894736842105,2,18,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 5), (3, 6), (3, 7), (4, 8), (5, 9), (6, 8), (6, 10), (7, 9), (7, 10), (8, 11), (9, 11), (10, 11)]"
12,9,0.8681413551380643,0.3684210526315789,2,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 8), (7, 9), (8, 10), (8, 11), (9, 10), (9, 11), (10, 11)]"
12,82,0.8700173435763485,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 7), (3, 8), (4, 9), (5, 7), (5, 10), (6, 10), (6, 11), (7, 11), (8, 9), (8, 10), (9, 11)]"
12,51,0.8826519962454222,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 9), (7, 8), (7, 10), (8, 11), (9, 11), (10, 11)]"
12,42,0.8940102966746819,0.47368421052631576,6,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 8), (5, 9), (6, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,71,0.9012265045407126,0.3684210526315789,2,18,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 5), (3, 7), (4, 8), (5, 9), (6, 8), (6, 10), (7, 9), (7, 10), (8, 11), (9, 11), (10, 11)]"
12,81,0.9238818226630521,0.5789473684210527,8,15,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 7), (3, 8), (4, 9), (5, 7), (5, 10), (6, 8), (6, 11), (7, 11), (8, 10), (9, 10), (9, 11)]"
12,50,0.9257276798572436,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 9), (5, 10), (6, 7), (7, 11), (8, 9), (8, 10), (9, 11), (10, 11)]"
12,74,0.9350004137797043,0.3684210526315789,2,18,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 5), (3, 7), (4, 8), (5, 9), (6, 9), (6, 10), (7, 8), (7, 10), (8, 11), (9, 11), (10, 11)]"
12,60,0.9415545036521866,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 8), (4, 9), (5, 10), (5, 11), (6, 7), (6, 8), (7, 10), (8, 11), (9, 10), (9, 11)]"
12,49,0.9485013660388315,0.42105263157894735,6,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 7), (5, 9), (6, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,83,0.955128817140408,0.3684210526315789,2,18,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 7), (3, 8), (4, 9), (5, 10), (5, 11), (6, 10), (6, 11), (7, 9), (7, 10), (8, 9), (8, 11)]"
12,4,0.9683167662757413,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 4), (4, 5), (5, 6), (5, 7), (6, 8), (6, 9), (7, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,43,0.975638525023311,0.42105263157894735,6,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 6), (4, 8), (5, 6), (5, 9), (7, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,33,1.0019269036828131,0.42105263157894735,4,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 7), (6, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,73,1.042944790197966,0.47368421052631576,6,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 5), (3, 7), (4, 8), (5, 9), (6, 8), (6, 10), (7, 10), (7, 11), (8, 11), (9, 10), (9, 11)]"
12,27,1.062623620345052,0.3684210526315789,6,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 6), (5, 7), (5, 8), (6, 9), (7, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,65,1.1256139788779844,0.47368421052631576,6,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 5), (3, 6), (3, 7), (4, 6), (5, 8), (6, 9), (7, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,78,1.1503904561550335,0.42105263157894735,6,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 7), (3, 8), (4, 7), (5, 9), (5, 10), (6, 9), (6, 10), (7, 11), (8, 9), (8, 11), (10, 11)]"
12,62,1.1548965686106323,0.42105263157894735,6,15,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 6), (3, 7), (4, 8), (4, 9), (5, 10), (5, 11), (6, 8), (6, 10), (7, 9), (7, 11), (8, 10), (9, 11)]"
12,75,1.157401926622514,0.3684210526315789,6,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 5), (3, 7), (4, 8), (5, 9), (6, 9), (6, 10), (7, 10), (7, 11), (8, 10), (8, 11), (9, 11)]"
12,36,1.1997734804016833,0.42105263157894735,6,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 9), (7, 10), (8, 11), (9, 11), (10, 11)]"
12,67,1.230506166275699,0.47368421052631576,8,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 5), (3, 6), (3, 7), (4, 8), (5, 9), (6, 8), (6, 10), (7, 9), (7, 11), (8, 11), (9, 10), (10, 11)]"
12,19,1.2710757880104975,0.3684210526315789,8,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 6), (4, 7), (5, 8), (5, 9), (6, 8), (6, 10), (7, 9), (7, 10), (8, 11), (9, 11), (10, 11)]"
12,25,1.3153969408241384,0.47368421052631576,8,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 4), (2, 5), (3, 4), (3, 5), (4, 6), (5, 7), (6, 8), (6, 9), (7, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
12,69,1.3203207583871457,0.47368421052631576,8,16,"[(0, 1), (0, 2), (0, 3), (1, 4), (1, 5), (2, 4), (2, 6), (3, 5), (3, 7), (4, 8), (5, 9), (6, 7), (6, 10), (7, 11), (8, 9), (8, 11), (9, 10), (10, 11)]"
12,8,1.364679388092652,0.3684210526315789,8,16,"[(0, 1), (0, 2), (0, 3), (1, 2), (1, 3), (2, 4), (3, 5), (4, 5), (4, 6), (5, 7), (6, 8), (6, 9), (7, 10), (7, 11), (8, 10), (8, 11), (9, 10), (9, 11)]"
